"meas" "method" "breakpoint" "breakpoint.se" "m1" "m1.se" "m2" "m2.se" "intercept" "intercept.se"
"1" 30 "xyz" 1.09799769940145 0.106121572199634 0.4417 0.03169 0.1762 0.1618 0.364083988562428 0.0262980771033984
"2" 30 "rand" 0.872324149585625 0.0595665359613871 0.5488 0.04243 0.1534 0.1189 0.366759547319102 0.0270519693019807
"3" 30 "grid" 0.739013194057342 0.0720487874104481 0.6333 0.05782 0.3468 0.09216 0.321571088669397 0.0330120018866159
"4" 36 "xyz" 0.822453127097956 0.0695491587529737 0.5994 0.06289 0.2882 0.05677 0.27693691140823 0.0393140745473843
"5" 36 "rand" 0.661597553839213 0.0452869352286877 0.7641 0.06984 0.3038 0.0553 0.261870271765913 0.034873024006206
"6" 36 "grid" 0.757288080153295 0.0753516971301328 0.6487 0.0526 0.3805 0.08694 0.304791678003752 0.0301064091937092
"7" 42 "xyz" 1.10576010343253 0.052200273350178 0.5438 0.02955 -0.01059 0.2118 0.283474036445215 0.0240163089314658
"8" 42 "rand" 0.925021675560016 0.0492222474237141 0.6178 0.03632 0.1101 0.1631 0.308043054192499 0.0237141049472545
"9" 42 "grid" 0.860469158088547 0.0421697316771498 0.7154 0.03946 0.1396 0.1676 0.252926060659785 0.0248035737940772
"10" 49 "xyz" 0.913628994626534 0.0547376823234383 0.6047 0.03788 0.257 0.08655 0.270867512740916 0.0265114508355414
"11" 49 "rand" 0.85320480105899 0.0592781877150991 0.5938 0.04083 0.2327 0.108 0.341473026343574 0.0252398559319456
"12" 49 "grid" 0.891755852211836 0.0320661153654059 0.6898 0.03373 0.05526 0.1687 0.265710684993692 0.0223839035569628
"13" 56 "xyz" 0.973797478194971 0.0587739095056078 0.6079 0.0345 0.2574 0.1228 0.259174210151973 0.0250674800221775
"14" 56 "rand" 0.977607056629615 0.0400972744181088 0.6117 0.03181 -0.06259 0.2098 0.30967448630085 0.0219733368550368
"15" 56 "grid" 0.743060793475198 0.0541231346286693 0.7855 0.05171 0.4519 0.07488 0.203626835211727 0.0288878521687414
"16" 63 "xyz" 0.992785967424668 0.0371853458247745 0.667 0.03041 0.1615 0.1312 0.221024339968942 0.0226298548139432
"17" 63 "rand" 0.963501851310797 0.0339659688154252 0.6378 0.03034 -0.07237 0.1821 0.297336417822904 0.0211556001148675
"18" 63 "grid" 0.894883675435718 0.0523530743259416 0.7065 0.03251 0.3302 0.1593 0.240942019199495 0.0221477652366001
"19" 72 "xyz" 0.933669884682387 0.0379622403550517 0.6711 0.03255 0.2272 0.1035 0.231899420463008 0.023120351078089
"20" 72 "rand" 0.798098471574043 0.0282348856360703 0.8056 0.04328 0.2222 0.07072 0.193850127497326 0.0266505796706952
"21" 72 "grid" 0.833116061592224 0.0364399960779196 0.7999 0.03778 0.326 0.1071 0.186938484852823 0.0244155730156411
"22" 80 "xyz" 0.946810551747226 0.0301787703670563 0.775 0.02899 0.2243 0.106 0.148193821174939 0.0204695631702007
"23" 80 "rand" 0.78642986447292 0.0299294226476233 0.8715 0.04106 0.3099 0.07282 0.151408672528025 0.0243138602073322
"24" 80 "grid" 0.81978139106636 0.030664144505466 0.8869 0.03705 0.3505 0.09868 0.123589076798743 0.0232836379053402
"25" 90 "xyz" 1.00028748656053 0.0266547045946461 0.753 0.02431 0.04877 0.1697 0.164310023211419 0.0184488736906899
"26" 90 "rand" 0.857323147305516 0.0321537835969003 0.7787 0.03078 0.2769 0.08994 0.199108190322602 0.0199296722804812
"27" 90 "grid" 0.834458592935195 0.0354797551243752 0.854 0.03501 0.3869 0.1097 0.142004379037453 0.0228153824186744
"28" 99 "xyz" 0.982399916712056 0.0267747833015927 0.7702 0.02717 0.1298 0.1404 0.154861128896262 0.020339095998311
"29" 99 "rand" 0.828175256099095 0.029212801078623 0.8407 0.03513 0.3025 0.08163 0.164004621161894 0.022130580174961
"30" 99 "grid" 0.894779216318883 0.0282208987894539 0.8601 0.029 0.2611 0.1461 0.131020795906032 0.0202230443537264
"31" 109 "xyz" 0.952993417261642 0.0391705627358836 0.7308 0.02549 0.3151 0.1223 0.186037273847455 0.0184330781835328
"32" 109 "rand" 0.937628592917304 0.0241867599526729 0.7907 0.02612 0.01541 0.1461 0.179884591622863 0.0181025510490388
"33" 109 "grid" 0.915001825190683 0.0251151323318729 0.837 0.0269 0.1837 0.1427 0.142522818113969 0.0186336019936208
"34" 120 "xyz" 0.76351534753247 0.0354987936668156 0.9249 0.04531 0.51 0.0499 0.0631321313177478 0.0268847925829522
"35" 120 "rand" 0.780353267883249 0.0286231072075379 0.9131 0.03722 0.4023 0.07115 0.116132232803253 0.0222795937298794
"36" 120 "grid" 0.890645557392154 0.0211503370256848 0.8899 0.02643 0.1783 0.1185 0.101151981461849 0.0180498011867383
"37" 131 "xyz" 0.956033504894946 0.0253725131945884 0.8417 0.02602 0.1743 0.1579 0.104952621534739 0.0189660244816229
"38" 131 "rand" 0.767787975105964 0.0343900141461797 0.879 0.04078 0.4314 0.06705 0.134731129117021 0.0238442989244652
"39" 131 "grid" 0.90121394546529 0.0243318767813779 0.8738 0.02528 0.2758 0.1334 0.113813423942832 0.0172420681144971
"40" 143 "xyz" 0.816381992980202 0.0346466289475428 0.8956 0.03561 0.5111 0.06399 0.0847527401780576 0.0228081545275044
"41" 143 "rand" 0.822420316519845 0.0273502479014192 0.889 0.03379 0.3517 0.08494 0.120301427438821 0.0213840160376457
"42" 143 "grid" 0.877486360996938 0.0255975880964402 0.8928 0.02821 0.3402 0.1202 0.0987194596363136 0.0191839336835283
"43" 155 "xyz" 0.902648932172644 0.0284184285381566 0.8692 0.02473 0.3868 0.09854 0.0931570962569269 0.0170115602621194
"44" 155 "rand" 0.796978770347025 0.0206980255501405 0.977 0.03396 0.3381 0.06265 0.0615709978266788 0.0205571144558787
"45" 155 "grid" 0.912951757013616 0.0200805624887399 0.9088 0.02388 0.1483 0.1528 0.0878347465759328 0.0165713924285684
"46" 168 "xyz" 0.960374970922578 0.018800420803564 0.8629 0.02217 0.1248 0.1463 0.0949795822023219 0.0162865987136894
"47" 168 "rand" 0.808484282129457 0.0349611579648371 0.8965 0.03489 0.5059 0.07266 0.10897452260617 0.0216049739829819
"48" 168 "grid" 0.946131489012051 0.0215140086231402 0.8826 0.02124 0.1865 0.1684 0.102095744889892 0.0154844238298397
"49" 181 "xyz" 0.970991041039736 0.0158760474392622 0.8937 0.01891 0.1393 0.1219 0.0647320266528898 0.0140367116868617
"50" 181 "rand" 0.870806014139661 0.017317439272988 0.9467 0.02457 0.206 0.09246 0.0726029321711113 0.0164379446844784
"51" 181 "grid" 0.897167354903575 0.0225898096085772 0.9185 0.02118 0.3023 0.1338 0.0875925043508241 0.0147219820755007
"52" 194 "xyz" 0.948054461515855 0.0180657903196182 0.9069 0.01934 0.1993 0.1362 0.0617859466235341 0.0140811841371324
"53" 194 "rand" 0.89181613002514 0.0179342107652289 0.912 0.02291 0.1822 0.09739 0.0930603968709931 0.0156466509093443
"54" 194 "grid" 0.90470803762516 0.0225342512269805 0.9127 0.02219 0.2916 0.1463 0.0844896253451288 0.0152886829707752
"55" 209 "xyz" 0.920846383361073 0.0224412544175696 0.9211 0.02148 0.3349 0.1183 0.0579294185899744 0.0152677929681178
"56" 209 "rand" 0.840992745217663 0.0203046613038136 0.9677 0.02959 0.3284 0.07805 0.0599565180405646 0.0187697789155794
"57" 209 "grid" 0.924482355470263 0.0203654476282472 0.924 0.0196 0.267 0.1633 0.0701378496706315 0.0139936093198734
"58" 223 "xyz" 0.910815013548818 0.0239681963392623 0.9028 0.0207 0.4196 0.1174 0.0714176850780123 0.0146175263402283
"59" 223 "rand" 0.875195669452835 0.0190543524501187 0.9457 0.02479 0.2871 0.09385 0.0619543326528583 0.0168984705478223
"60" 223 "grid" 0.879467636001001 0.0207057386140825 0.9285 0.02135 0.3888 0.09695 0.0731830987710246 0.0145704671802811
"61" 238 "xyz" 0.95675190632826 0.0164987543311812 0.9387 0.01815 0.1861 0.1585 0.039446195898354 0.0135120642014526
"62" 238 "rand" 0.878769479498774 0.0175739144788152 0.9469 0.02404 0.2324 0.09749 0.0677387450075056 0.0163583042732668
"63" 238 "grid" 0.943234115677233 0.0200785837242031 0.8949 0.01905 0.1716 0.1792 0.0891759560927017 0.0138116887718193
"64" 254 "xyz" 0.911834842266569 0.022795293691445 0.926 0.01992 0.4098 0.1009 0.0487282994326722 0.0142328525108658
"65" 254 "rand" 0.879890469866442 0.0200386525457157 0.9245 0.02139 0.3429 0.09337 0.0749258511869027 0.0144797020183727
